Software Name,Amit's Notes,Version ,Software Classification,Operating system,Self service,Licenses Required,GITSC Ticket number,Remarks,Category,Application Lead,Software Manufacturer,Packaged,OSD,Core O/S - Technical,Vulnerable,Approved date,Scanned date,Additional action,Action Details,GIS Reco Action,Comment ,Resource,Sarah's comment,,Tanium Name,Tanium Vendor,Tanium version,Defender Name,Defender Vendor,Dedender Lastest version,,WS1 Hub,WCS Managed Group Name,Comment,Exception based,Assignment Mode,Pushed Globally,Visible in HUB (Self Service),OLD License Required,To be checked,,Software name + Version,Publisher updated,Publisher on Oomnitza list review,Feedback,Software name to be loaded in Oomnitza,Version to be loaded in Oomintza,Final Software name,Final Version
Orange,,3.32.0,Green List,Mac OS,,Locally management,42395305/42413968,To be checked by SAM,Global Technology (R&D),Matt Rodman,Orange Data Mining,No,No,No,,6/28/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,Orange 3.32.0 Mac OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
VisionPro,,10,Grey List,Windows OS,,Locally management,42295262,,Supply Chain,Simon Kendall,Cognex,No,,,,7/19/2022,,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,VisionPro 10 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SAP GUI 780,,3.0.2 patch 17,Green List,Mac OS,,Centrally management,SR-446201,,GISSO ESC - Infrastructure,purnachand aravapalli,SAP,WIP,No,,,1/10/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheque Express,,1.6.6,Grey List,Windows OS,,Locally management,42401633,,Finance,Nirmala Iyer,Banco Pichincha,No,,,,7/19/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,Cheque Express 1.6.6 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Печать НД с PDF417 3.2.4,,3.2.4 and above,Grey List,Windows OS,,Locally management,42402896,,Finance,Anne-Marie Fitzpatrick,ФГУП ГНИВЦ ФНС России,No,,,,7/19/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,Печать НД с PDF417 3.2.4 3.2.4 and above Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
WinMTR,,92,Grey List,Windows OS,,Locally management,42401331,,W&CS ISM,Patty Vollmar,White-Tiger,No,,,,7/19/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,WinMTR 92 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Optiest,,2020.6.5,Grey List,Windows OS,,Locally management,42388522,,Supply Chain,Nicola Rautenbach,Optidata,No,,,,7/19/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,Optiest 2020.6.5 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LTspice,,17.0.35,Grey List,Windows OS,,Locally management,42402649,,Global Technology (R&D),Matt Rodman,Analog Devices,No,,,,7/19/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,LTspice 17.0.35 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Huawei Modem Installation Driver,,E3372,Grey List,Windows OS,,Locally management,42403161,,Finance,Vijayalakshmi Chandrashekar,Huawei,No,,,,7/20/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,Huawei Modem Installation Driver E3372 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dymo Connect,,"1.4.3.131 2",Grey List,Windows OS,,Locally management,42402778,,Global Technology (R&D),Matt Rodman,Dymo,No,,,,7/21/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,"Dymo Connect 1.4.3.131 2 Windows OS",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
nSolver,,4.0.62,Green List,Mac OS,,Locally management,42404549,To be checked by SAM,Global Technology (R&D),Matt Rodman,Nanostring,No,No,No,,7/20/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,nSolver 4.0.62 Mac OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cytoscape,,3.9.1,Grey List,Mac OS,,Locally management,42397436,,Global Technology (R&D),Matt Rodman,Cytoscape,NO,,,,7/2/2022,,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,Cytoscape 3.9.1 Mac OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"GSQL2008(32), InterFace",,2.1.20190404,Grey List,Windows OS,,Locally management,42038478,,Finance,Vijayalakshmi Chandrashekar,航天信息江苏有限公司扬州分公司,No,No,,Pending,3/18/2020,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,"GSQL2008(32), InterFace 2.1.20190404 Windows OS",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Персональный менеджер сертификатов Авест(personal manager of certificates),,4.4.0,Grey List,Windows OS,,Locally management,42380680,,Finance,Anne-Marie Fitzpatrick,AVEST,No,,,,7/27/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,Персональный менеджер сертификатов Авест(personal manager of certificates) 4.4.0 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Powertech MFA Desktop,,1.5,Grey List,Windows OS,,Locally management,42400693,,Finance,Nirmala Iyer,helpsystem,,,,,7/27/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Powertech MFA Desktop 1.5 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CCB_E_Setup_Total_20220610_x64,,3.3.8.0,Grey List,Windows OS,,Locally management,42400878,,Finance,Vijayalakshmi Chandrashekar,CCB,No,,,,7/27/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,CCB_E_Setup_Total_20220610_x64 3.3.8.0 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CCB_E_Setup_Total_20230911_x64,,3.3.9.7,Grey List,Windows OS,,Locally management,SR-458794,,Finance,Vijayalakshmi Chandrashekar,CCB,,,,,1/25/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axis Camera Station,,5.45.395,Grey List,Windows OS,,Locally management,42396359,,Global Technology (R&D),"Matt Rodman
",axis,No,,,,7/27/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,Axis Camera Station 5.45.395 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Axis Camera Station,, 5.53.59327.0,Grey List,Windows OS,,Locally management,SR-348970,,Global Technology (R&D),"Matt Rodman
",Axis,WIP,,,,11/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONtime,,3.3.10,Grey List,Windows OS,,Locally management,42403140,,Supply Chain,Ganesh Sankararaman,Secureye,No,,,,7/28/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,ONtime 3.3.10 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
LVS-95XX,,4.4.3.4102,Grey List,Windows OS,,Locally management,42399638,,Supply Chain,"Nicola Rautenbach",Omron,No,,,,7/28/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,LVS-95XX 4.4.3.4102 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Emperor (Torque),,v1.18 - 408,Grey List,Windows OS,,Locally management,42399306,,Supply Chain,"Nicola Rautenbach",Mecmesin,No,,,,7/28/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,Emperor (Torque) v1.18 - 408 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
GfK SimIT,,23.9.4.13,Grey List,Windows OS,,Locally management,SR-298683,,Customer Development,Esme Basson,GfK SimIT,WIP,,,,10/5/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIST,,3.5.145,Grey List,Windows OS,,Locally management,42405395,,Global Technology (R&D),"Matt Rodman
",AIST-NT,No,,,,8/1/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,AIST 3.5.145 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Prezi Presentation Software,,"1.55.0
",Grey List,Mac OS,,Locally management,42406626,,Legal,Manoj Nair,Prezi,No,,,,8/2/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,"Prezi Presentation Software 1.55.0
 Mac OS",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gephi,,0.9,Grey List,Mac OS,,Locally management,42409353,,Global Technology (R&D),Matt Rodman,Gephi,No,,,,8/2/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,Gephi 0.9 Mac OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Aztec 7,,7.1.115,Grey List,Windows OS,,Locally management,42386535,,Customer Development,Esme Basson,iriworldwide,No,,,,8/2/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,Aztec 7 7.1.115 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
QuickCross,,1.4.11,Grey List,Windows OS,,Locally management,42411239,,Marketing,Sudhakar Mane,Macromill,No,,,,8/8/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,QuickCross 1.4.11 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EV Standar,,V3,Grey List,Windows OS,,Locally management,42403266,,Supply Chain,"Francisco Ramos
",comarkinstruments,No,,,,8/8/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,EV Standar V3 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ezviz Studio,,"3.1.4.0",Grey List,Windows OS,,Locally management,42412564,,Supply Chain,"Nicola Rautenbach
","Hangzhou Ezviz Software Co.,Ltd.",No,,,,8/8/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,"Ezviz Studio 3.1.4.0 Windows OS",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Rhino,,7,Grey List,Mac OS,,Locally management,42401989,,Marketing,Sudhakar Mane,Rhino,No,,,,8/8/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Rhino 7 Mac OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Rhino,,8,Grey List,Windows OS,,Locally management,SR-465202,,Global Technology (R&D),Matthew Rodman,Robert McNeel & Associates,,,,,2/13/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openvpn,,2.5.6,Grey List,Mac OS,,Locally management,42406719,,Information Security,Nikhil Chawla,OpenVPN technologies,No,,,,8/1/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,openvpn 2.5.6 Mac OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
TypeSquare Desktop Manager,,NA,Grey List,Mac OS,,Locally management,42411757,,Global Technology (R&D),Matt Rodman,TypeSquare,No,,,,8/9/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,TypeSquare Desktop Manager NA Mac OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FedresursDSPlugin,,1.18.0.0 and higher,Grey List,Windows OS,,Locally management,42405128,,Finance,"Anne-Marie Fitzpatrick","REAK SOFT, OOO",No,,,,8/10/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,FedresursDSPlugin 1.18.0.0 and higher Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COGNEX Designer,,"4.4.1",Grey List,Windows OS,,Locally management,42409027,,Supply Chain,"Nicola Rautenbach
",Cognex,No,,,,8/10/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,"COGNEX Designer 4.4.1 Windows OS",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ART EX Direct Fax Driver （Microsoft WHQL Approved Driver）for Apeos C3570 MFP,,3.2.2,Grey List,Windows OS,,Locally management,42410685,,Collaboration,Patty Vollmar,Fujifilm,No,,,,8/10/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,ART EX Direct Fax Driver （Microsoft WHQL Approved Driver）for Apeos C3570 MFP 3.2.2 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
JMP Statistical Discovery,,16.2,Grey List,Windows OS,,Locally management,42386765,,Analytics,Tommy Thomas,JMP Statistical Discovery LLC,No,,,,8/10/2022,,,,,,,,,,,,,,,,,,,,,,,Check before installation,,,JMP Statistical Discovery 16.2 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
KODAK CAPTURE PRO,,6,Grey List,Windows OS,,Locally management,42391324,,Finance,Nirmala Iyer,,,,,,8/15/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,KODAK CAPTURE PRO 6 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Xmind,,2022,Grey List,Windows OS,,Locally management,42414669,,Marketing,Sudhakar Mane,"Xmind Ltd",No,,,,9/20/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,Xmind 2022 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tomcat for Windows,,9,Grey List,Windows OS,,Locally management,42414182,,Supply Chain,"Nicola Rautenbach
",Apache,No,,,,8/15/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,Tomcat for Windows 9 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
FileZilla,,3.55.1,Green List,Mac OS,,Freeware,42274584,"Ok, OS",Open Source,open_source@colpal.com,"FileZilla",No,No,,,12/1/2021,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,FileZilla 3.55.1 Mac OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bloomberg Office Tools,,"114.5.80
March 30th 2023",Grey List,Windows OS,,Locally management,SR-92206,,Finance,Anne-Marie Fitzpatrick,Bloomberg,No,No,,,4/10/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Just lovely font,,1,Grey List,Windows OS,,Locally management,42364006,,Marketing,Helen Kirwan,My font,No,,,,8/16/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Just lovely font 1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Alteryx designer,,2021,Grey List,Windows OS,,Locally management,42412348,,Finance,Nirmala Iyer,Alteryx,No,,,,8/16/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Alteryx designer 2021 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Extensis Suitcase,,NA,Grey List,Mac OS,,Locally management,42411788,,Global Technology (R&D),Bill Bessette,Extensis / Celartem,No,,,,8/16/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Extensis Suitcase NA Mac OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Adobe Premiere,,2022,Grey List,Mac OS,,Locally management,42413600,,Marketing,Sudhakar Mane,Adobe,No,,,,8/16/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Adobe Premiere 2022 Mac OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Keyshot,,Keyshot11,Grey List,Mac OS,,Locally management,42413601,,Marketing,Sudhakar Mane,Keyshot,No,No,,,8/16/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Keyshot Keyshot11 Mac OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
IFProgram,,9 standard,Grey List,Windows OS,,Locally management,42414611,,Global Technology (R&D),"Bill Bessette",The Institute for Perception,No,,,,8/16/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,IFProgram 9 standard Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Spark AR,,133.2,Green List,Mac OS,,Locally management,42372348,To be checked by SAM,Corporate Communications,"Jim Arcure
",Facebook,No,No,No,,5/4/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,Spark AR 133.2 Mac OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
R-Studio Desktop,,2023.03.1+446,Green List,Mac OS,,Freeware,SR-144253,Ok,Global Technology (R&D),Matt Rodman,RStudio,No,No,,,6/2/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYMO Label,,8.7.4,Grey List,Windows OS,,Locally management,SR-528489,,Global Technology (R&D),Frank Peake,Sanford,No,,,,4/29/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Lab,,2.7,Grey List,Windows OS,,Locally management,42411675,,Global Technology (R&D),"Matt Rodman",Agilent,No,,,,8/18/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Open Lab 2.7 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Alteryx Designer,,3.5.3,Grey List,Windows OS,,Locally management,41672731, ,Analytics,Tommy Thomas,Alteryx,No,No,,Pending,4/19/2018,,,,,,,,,,,,,,,,Yes,APP - Photoshop 23.2 - Users - WIN,,Group managed,OnDemand,No,No,Site restricted licensing,,,Alteryx Designer 3.5.3 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SAP Cloud Applications Studio,,2402,Green List,Windows OS,,Freeware,SR-523431,,Customer Development,Reena Jose,SAP,No,,,,4/25/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software AG Unit Test Framework,,10.7,Grey List,Windows OS,,Locally management,42416802,,Governance - Integration Team,"Luis Arturo Martinez",Software AG,No,,,,8/18/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Software AG Unit Test Framework 10.7 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Phenom user interface,,1.7,Grey List,Windows OS,,Locally management,42416491,,Global Technology (R&D),"Bill Bessette
","Thermo Fisher Scientific",No,,,,8/23/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Phenom user interface 1.7 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Smart Integration PDF,,22,Grey List,Windows OS,,Locally management,42418227,,Supply Chain,"Nicola Rautenbach",yourapps.co.ke,No,,,,8/23/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Smart Integration PDF 22 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALOHA,,5.4.7,Grey List,Windows OS,,Locally management,42410333,,Supply Chain,"Francisco Ramos",www.epa.gov/cameo/aloha-software,No,,,,8/23/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,ALOHA 5.4.7 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALTIUM PBC Design,,Current,Grey List,Windows OS,,Locally management,41859929,Software installation file drive is documented in the ticket ,Global Technology (R&D),Frank Peake,Altium,No,No,,Pending,5/2/2019,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,ALTIUM PBC Design Current Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ametek Forcetest Force Measuring Software,,2.0.,Grey List,Windows OS,,Locally management,42257322,,Global Technology (R&D),Matthew Rodman,AMETEK BROOKFIELD,No,No,,No,9/24/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC Nielsen Spaceman,,14.2.0.52,Grey List,Windows OS,,Locally management,42417307,,Customer Development,Aravind Tula,ACNielsen,No,,,,8/23/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,AC Nielsen Spaceman 14.2.0.52 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chromeleon,,"7.3.1
",Grey List,Windows OS,,Locally management,42401910,,Analytics,Sudhakar Mane,Thermo Fisher Scientific,No,,,,8/23/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,"Chromeleon 7.3.1
 Windows OS",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chromeleon,,7.2.10,Grey List,Windows OS,,Locally management,SR-524676,,Global Technology (R&D),Jack Weiss,Thermo Fisher Scientific,No,,,,4/9/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active Control Gui,,8.5 Build 2105,Grey List,Windows OS,,Locally management,42409525,,GIT Governance,Sarah Henriquez,https://www.basistechnologies.com/,No,,,,8/17/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Active Control Gui 8.5 Build 2105 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
COGNEX Vision Pro Deep Learning,,1.1,Grey List,Windows OS,,Locally management,42409029,,Supply Chain,"Nicola Rautenbach",Cognex,No,,,,8/23/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,COGNEX Vision Pro Deep Learning 1.1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Vision Pro,,9.7,Grey List,Windows OS,,Locally management,42409040,,Supply Chain,"Nicola Rautenbach",Cognex,No,,,,8/23/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,Vision Pro 9.7 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
IXIMPLE,,5.6.2.1,Grey List,Windows OS,,Locally management,42415338,,Supply Chain,"Nicola Rautenbach",https://www.cdscom.co.th/,No,,,,8/23/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,IXIMPLE 5.6.2.1 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ALERT,,4,Grey List,Windows OS,,Locally management,42397352,,Supply Chain,"Nicola Rautenbach",MICROMEDIA,No,,,,8/24/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,ALERT 4 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Milestone XProtect,,2020R2,Grey List,Windows OS,,Locally management,42369229,,Supply Chain,"Nicola Rautenbach",Milestone Systems,WIP,,,,8/16/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Milestone XProtect 2020R2 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sketchup,,2020,Grey List,Mac OS,,Locally management,42375855,,Supply Chain,Francisco Ramos,Sketch B.V.,No,,,,,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,Sketchup 2020 Mac OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Clean Trace,,"1.6.0.48",Grey List,Windows OS,,Locally management,42394481,,Supply Chain,Francisco Ramos,3M,No,,,,8/29/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,"Clean Trace 1.6.0.48 Windows OS",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Clean Trace,,1.8.5,Grey List,Windows OS,,Locally management,SR-476501,,Supply Chain,Francisco Ramos,3M,,,,,2/23/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autodesk HSMworks,,2023,Grey List,Windows OS,,Locally management,42377832,,Supply Chain,Francisco Ramos,Autodesk,No,,,,8/29/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Autodesk HSMworks 2023 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Autodesk REVIT,,2023,Grey List,Windows OS,,Locally management,42378549,,Supply Chain,Francisco Ramos,Autodesk,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Autodesk REVIT 2023 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SoftMax Pro,,6.2,Grey List,Windows OS,,Locally management,42419617,,Global Technology (R&D),"Bill Bessette
","Molecular devices",No,,,,8/30/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,SoftMax Pro 6.2 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Баланс-2W,,1.222.655,Grey List,Windows OS,,Locally management,42401114,,Finance,"Anne-Marie Fitzpatrick",balans2.ru,No,,,,8/31/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Баланс-2W 1.222.655 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
INKSCAPE,,1.2.2,Green List,Windows OS,,Freeware,SR-196911,,Global Technology (R&D),"Matt Rodman",,No,No,,,21/07/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClientInstall.Portal.Plugins,,1.0.3.11,Grey List,Windows OS,,Locally management,42421996,,W&CS ISM,Patty Vollmar,IMPRO,No,,,,9/1/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,ClientInstall.Portal.Plugins 1.0.3.11 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bicrypt Plugin,,1.0.0.31,Grey List,Windows OS,,Locally management,42412165,,Finance,Anne-Marie Fitzpatrick,INIST JSC,No,,,,9/1/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,Bicrypt Plugin 1.0.0.31 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Burp Suite Professional,,2022.2,Grey List,Mac OS,,Locally management,42340341,,eCommerce,"Simone Jackson
","https://portswigger.net/buy/pro
",No,,,,9/7/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Burp Suite Professional 2022.2 Mac OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Zetasizer,,7.12,Grey List,Windows OS,,Locally management,41903813,,Global Technology (R&D),Frank Peake,,No,,,,9/7/2022,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Zetasizer 7.12 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Rosbank BicryptPlugin,,1.0.0.31,Grey List,Windows OS,,Locally management,42407922,,Finance,"Anne-Marie Fitzpatrick
",Rosbank,No,,,,9/7/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,Rosbank BicryptPlugin 1.0.0.31 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
AdamApax .NET Utility,,2.06.00,Grey List,Windows OS,,Locally management,42420403,,Supply Chain,"Nicola Rautenbach",Advantech,No,,,,9/9/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,AdamApax .NET Utility 2.06.00 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Alibaba DipperView_win,,3.2.0.0,Grey List,Windows OS,,Locally management,41931701,,Customer Development,Reena Jose,Alibaba,No,No,,Pending,9/9/2019,,,,,,,,,,,,,,,,,,,,,,,Site restricted licensing,,,Alibaba DipperView_win 3.2.0.0 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
elproLOG Analyze,,3_64_01,Grey List,Windows OS,,Locally management,42426345,,Global Technology (R&D),"Bill Bessette
","https://www.elpro.com/en/",No,,,,9/14/2022,,,,,,,,,,,,,,,,,,,,,,,License not required ,,,elproLOG Analyze 3_64_01 Windows OS,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PyCharm Community Edition,,2023.2.1,Green List,Mac OS,,Freeware,SR-281440,,Customer Development,Reena Jose,JetBrains,No,No,,,10/5/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PyCharm Community Edition,,2023.2.3,Green List,Windows OS,,Freeware,SR-281440,,Customer Development,Aravind Tula,JetBrains,No,No,,,11/23/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
